Index	x5	x0	x1	x2	x3	x4
0	3.9208928603566694e-10	-6.090423186141335e-10	3.024133610355092e-09	2.071968603247188e-28	-1508769010.677271	4994785907.164094
1	1.0989027516553399e-10	3.440595457831095e-10	3.74989056444588e-08	1.554722160461034e-27	12526625517.46484	-9022202728.212393
2	2.9827216071049355e-06	-2.3946893415647447e-10	5.718302961701362e-08	1.252866139780828e-28	1218932156.4886248	-1233871659.0398571
3	3.0753427838866203e-12	5.441858488300451e-10	3.30442762921952e-08	1.2032163557579838e-27	-69721082798.09854	-1168550484.638415
4	4.005104775326509e-12	-8.164294609197321e-10	3.875705728285759e-09	6.4908292414710605e-28	-3449970126.9419994	35058293526.892975
5	-4.316295876444392e-11	1.2470960931274603e-10	3.847917207327862e-09	5.381473440243665e-28	-1378051567.901146	-4749548740.8014965
6	8.203330590685368e-14	4.7981336920411966e-11	3.80363501550276e-08	7.364148798232467e-27	64176523015.5283	33129633752.922783
7	-3.0487825725566035e-12	-5.380152676042468e-10	3.6013888954252394e-08	3.3760655901530534e-27	50788222973.05744	26400320757.98633
8	3.099286584756075e-12	-9.581840988528271e-11	2.4629146669560833e-09	6.812884257825904e-28	-1306938745.0034943	10652371836.764631
9	4.933884766432188e-14	1.3066632616416728e-11	2.9420172460771322e-08	8.646796852550554e-27	74552741589.97523	68242425288.3996
10	-5.933683207472444e-13	6.396567514334371e-11	3.1574095551056127e-09	2.364442100535654e-28	7406812321.6544895	-38657529865.72319
11	-3.190795219956946e-09	-7.737182684418548e-11	7.323725389017025e-09	1.7601607290728027e-28	-1790559911.2382822	1482284972.3092308
12	-2.3498522985026896e-15	9.692792140658992e-11	1.1937526105680417e-09	9.910178268731416e-27	7666229918.971882	70904534928.82202
13	-9.895830037627763e-14	-4.1559422625044884e-10	1.7857867481742247e-09	1.905200159497128e-27	-63470856495.484	9596134751.249754
14	-2.30243536523461e-11	3.333883925876948e-11	4.3904531015860415e-09	4.755923136059665e-28	-6859170039.712268	7772729526.114058
